Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
Solteiro Forï¿½ï¿½ado - (Boiadeira Internacio,Solteiro Forï¿½ï¿½ado (Boiadeira Internacio,Ana Castela,2023-07-07,BX3022300019,"1,051",46.8,210195998.0,"10,723","12,965,116",65.0,291263121.0,"1,409,361","33,900",3996634.0,"55,226,429","1,201,657,034",6.0,"6,009",,22.0,"7,921,538",9.0,"1,736",,,"137,611",,0
"Naina (From ""Crew"")","Naina (From ""Crew"") - Single",Diljit Dosanjh,2024-03-05,INT102400827,"1,049",46.8,65661355.0,"2,351","12,360,484",76.0,89220257.0,"546,476",,,,"44,670,108",16.0,617,,2.0,"1,606",20.0,,,,"127,403",,0
Bel Bont El3areedh,Haflet Al'ahramat 2022 - Egypt,Hussain Aljassmi,2022-12-19,AEA142213346,"1,059",46.7,16119.0,5,411,6.0,634519417.0,"4,362,725",,,,"2,105,270",,,,,,,,,,,,0
"Naa Ready (From ""Leo"")","Naa Ready (From ""Leo"")",Anirudh Ravichander,2023-06-22,INS172307161,"1,058",46.7,142430643.0,"6,611","5,093,444",64.0,347065741.0,"4,171,813",,663.0,"18,800","153,732,169",8.0,46,,,,18.0,"2,762",,,"101,174",,0
Dï¿½ï¿½jala Que Vuelva (feat. Manuel Tur,Dï¿½ï¿½jala Que Vuelva (feat. Manuel Tur,Piso 21,2017-10-20,MXF151700546,"1,061",46.6,871780891.0,"56,085","22,005,461",68.0,2169311851.0,"4,669,074","137,939",12865488.0,"121,241,311","206,887,325",41.0,123,55,46.0,"5,165,685",44.0,"28,752,324","9,678",,"1,867,651",,0
Feel the POP,You had me at HELLO,ZEROBASEONE,2024-05-13,KRA492400588,"1,060",46.6,8699917.0,533,"10,481,435",58.0,31498812.0,"685,645",,131400.0,"329,800",,5.0,101,9,4.0,"34,481",25.0,"1,443",16,"17,497","11,352",,0
Diamonds,Unapologetic (Edited Version),Rihanna,2012-01-01,USUM71211793,"1,063",46.5,1419912461.0,"180,128","62,951,327",70.0,2336257288.0,"11,532,780","12,421",899775.0,"6,890,158","404,667,689",164.0,"248,320",81,123.0,"1,169,312",53.0,"545,061,119","521,352",,"11,373,333",,0
Fuera del mercado,@dannocean,Danny Ocean,2022-02-17,USWL12200098,"1,064",46.5,535013440.0,"57,772","25,048,190",71.0,162236183.0,"1,010,851","2,681,307",387587032.0,"4,479,627,831","339,251,328",54.0,"28,857",327,32.0,"910,491",28.0,"1,646,419","1,389",,"1,371,874",,0
Poor People We,Poor People We,Harp and a monkey,2022-11-28,UKXN22273282,"1,062",46.5,1071.0,6,"1,694",,654777639.0,,,,,176,,2,,,,,,,,23,,0
El Cielo,El Cielo - Single,Sky Rompiendo,2023-06-02,USSD12300241,"1,068",46.4,354097795.0,"53,606","50,446,311",74.0,89166241.0,"599,270","26,367",10289035.0,"107,126,101","9,653,765",64.0,"18,198",53,37.0,"398,533",19.0,"5,226,972",391,,"542,456",,0
ALL MY FELLAS,ALL MY FELLAS,Frizk,2023-09-19,QZTAZ2359846,"1,070",46.4,56978899.0,"19,534","2,505,224",,31575700.0,"824,524","1,095,900",77314395.0,"641,905,367","86,472,968",3.0,13,49,,,,"345,036","3,980",,"460,827",,0
Bebefinn Song,Bebefinn Song - Single,Pinkfong,2024-05-03,KRE672300203,"1,069",46.4,38895.0,8,611,,50007108.0,"65,432",,,,,1.0,,,,,,,,,,,0
BITTERSUITE,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401987,"1,066",46.4,58810212.0,"3,394","9,510,078",87.0,,,97,,,,31.0,146,,5.0,"159,005",9.0,"161,908",138,"680,392","104,093",,0
Me Fui de Vacaciones,Un Verano Sin Ti,Bad Bunny,2022-05-06,QM6MZ2214894,"1,067",46.4,366872354.0,"61,014","15,444,758",68.0,146768761.0,"1,402,279","2,232,600",180281548.0,"1,794,129,686","20,198,310",14.0,"8,167",,8.0,"482,273",7.0,"10,647,882","2,818","2,328,837","768,036",,0
Talk (feat. Disclosure),Talk,Khalid,2019-02-07,USRC11900004,"1,065",46.4,968194426.0,"121,168","29,487,473",64.0,468753245.0,"3,701,432","622,138",22886397.0,"175,481,915","364,423,555",171.0,"301,064",955,58.0,"635,116",73.0,"374,578,867","177,764",,"5,865,620",,0
Rompe La Dompe,Rompe La Dompe,Peso Pluma,2023-12-28,QMFMG2368181,"1,071",46.3,164219485.0,"11,966","20,373,836",,101560741.0,"564,659",,,,"414,178,081",15.0,643,,16.0,"13,007,504",11.0,"3,424,638","1,070",,"184,898",,0
greedy sped up,greedy,Tate McRae,2023-09-14,USRC12302740,"1,074",46.2,21648841.0,"2,778","2,506,076",,,,"1,992,300",242655468.0,"3,067,524,132",,2.0,4,400,1.0,878,8.0,"608,904",447,,,,0
Reloj,Reloj,Rauw Alejandro,2020-10-22,USSD12000471,"1,072",46.2,579749218.0,"90,725","22,415,388",65.0,645701697.0,"3,354,975","1,567,493",149903879.0,"1,294,351,127","154,245,751",89.0,"16,280",13,22.0,"291,938",23.0,"47,558,473","9,485",,"1,542,421",,0
ýýýýýýýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýýýýýýýý - Single,ýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýý,2024-03-22,THSOH2402582,"1,073",46.2,2730458.0,257,"128,196",,89974882.0,"536,584",,,,,1.0,,,,,,,,,"15,042",,0
